INDEX:,SPECIES NAME:
0,10-Formyltetrahydrofolate
1,3-Phospho-D-glyceroylphosphate
2,1-hexadec-9-enoyl-sn-glycerol3-phosphate
3,1-hexadecanoyl-sn-glycerol3-phosphate
4,1-Pyrroline-5-carboxylate
5,"2,3-Dihydrodipicolinate"
6,"(R)-2,3-Dihydroxy-3-methylbutanoate"
7,"(R)-2,3-Dihydroxy-3-methylpentanoate"
8,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
9,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone5#-phosphate"
10,"LL-2,6-Diaminoheptanedioate"
11,"meso-2,6-Diaminoheptanedioate"
12,(S)-2-Aceto-2-hydroxybutanoate
13,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose5-phosphate
14,2-Dehydro-3-deoxy-D-arabino-heptonate7-phosphate
15,2-Dehydro-3-deoxy-D-gluconate6-phosphate
16,2-Dehydropantoate
17,2-Demethylmenaquinone8
18,2-Demethylmenaquinol8
19,2-Deoxy-D-ribose1-phosphate
20,[2Fe-1S]desulfuratediron-sulfurcluster
21,[2Fe-2S]iron-sulfurcluster
22,2-Hydroxy-3-oxopropanoate
23,2-Isopropylmaleate
24,2-Methyl-4-amino-5-hydroxymethylpyrimidinediphosphate
25,2-C-methyl-D-erythritol4-phosphate
26,"2-C-methyl-D-erythritol2,4-cyclodiphosphate"
27,2-Oxobutanoate
28,2-Octaprenyl-6-hydroxyphenol
29,2-Octaprenylphenol
30,2-phospho-4-(cytidine5#-diphospho)-2-C-methyl-D-erythritol
31,D-Glycerate2-phosphate
32,3-(4-Hydroxyphenyl)pyruvate
33,3-Carboxy-2-hydroxy-4-methylpentanoate
34,3-Carboxy-3-hydroxy-4-methylpentanoate
35,3-Carboxy-4-methyl-2-oxopentanoate
36,3-Dehydroquinate
37,3-Dehydroshikimate
38,(S)-3-Hydroxybutanoyl-CoA
39,(S)-3-Hydroxydecanoyl-CoA
40,(S)-3-Hydroxydodecanoyl-CoA
41,(S)-3-Hydroxyhexanoyl-CoA
42,(S)-3-Hydroxyhexadecanoyl-CoA
43,(R)-3-Hydroxytetradecanoyl-[acyl-carrierprotein]
44,(S)-3-Hydroxyoctanoyl-CoA
45,(S)-3-Hydroxytetradecanoyl-CoA
46,C#-(3-Indolyl)-glycerol3-phosphate
47,3-Methyl-2-oxobutanoate
48,(S)-3-Methyl-2-oxopentanoate
49,3-Oxodecanoyl-CoA
50,3-Oxododecanoyl-CoA
51,3-Oxohexanoyl-CoA
52,3-Oxohexadecanoyl-CoA
53,3-Oxotetradecanoyl-[acyl-carrierprotein]
54,3-Oxooctanoyl-CoA
55,3-Octaprenyl-4-hydroxybenzoate
56,3-Oxotetradecanoyl-CoA
57,3-Phospho-D-glycerate
58,3-Phosphohydroxypyruvate
59,5-O-(1-Carboxyvinyl)-3-phosphoshikimate
60,4-Aminobenzoate
61,4-amino-4-deoxychorismate
